date,open,high,low,close,volume,obv
2021-01-24 18:03:00,31627.03,31641.97,31639.49,31641.96,242.326,242.326
2021-01-24 18:06:00,31641.96,31645.64,31645.5,31645.5,232.129,474.455
2021-01-24 18:09:00,31645.5,31674.07,31667.15,31674.06,261.16,735.615
2021-01-24 18:12:00,31674.06,31620.75,31619.6,31620.75,237.883,497.73199999999997
2021-01-24 18:15:00,31620.75,31700.0,31699.03,31700.0,197.994,695.726
2021-01-24 18:18:00,31700.0,31668.01,31667.72,31668.01,582.2,113.52599999999995
2021-01-24 18:21:00,31668.01,31790.04,31784.08,31787.44,624.28,737.8059999999999
2021-01-24 18:24:00,31787.44,31739.8,31732.11,31739.8,560.269,177.53699999999992
2021-01-24 18:27:00,31739.8,31706.74,31706.59,31706.74,547.482,-369.94500000000005
2021-01-24 18:30:00,31706.74,31714.09,31711.34,31712.43,191.619,-178.32600000000005
2021-01-24 18:33:00,31712.43,31731.74,31731.74,31731.74,245.354,67.02799999999996
2021-01-24 18:36:00,31731.74,31740.0,31740.0,31740.0,150.238,217.26599999999996
2021-01-24 18:39:00,31740.0,31738.15,31734.44,31738.15,188.317,28.948999999999955
2021-01-24 18:42:00,31738.15,31737.71,31737.7,31737.7,266.652,-237.70300000000003
2021-01-24 18:45:00,31737.7,31713.37,31713.37,31713.37,90.014,-327.71700000000004
2021-01-24 18:48:00,31713.37,31718.52,31718.51,31718.51,249.081,-78.63600000000005
2021-01-24 18:51:00,31718.51,31836.0,31836.0,31836.0,330.469,251.83299999999994
2021-01-24 18:54:00,31836.0,31940.3,31936.52,31937.63,835.938,1087.771
2021-01-24 18:57:00,31937.63,31932.28,31932.27,31932.28,555.324,532.447
2021-01-24 19:00:00,31932.28,31917.7,31916.9,31916.91,315.11,217.337
2021-01-24 19:03:00,31916.91,31850.5,31850.49,31850.49,316.93,-99.59300000000002
2021-01-24 19:06:00,31850.49,31855.15,31854.92,31855.04,286.496,186.90299999999996
2021-01-24 19:09:00,31855.04,31822.53,31822.52,31822.52,115.395,71.50799999999997
2021-01-24 19:12:00,31822.52,31834.48,31833.47,31833.47,163.904,235.41199999999998
2021-01-24 19:15:00,31833.47,31820.01,31820.0,31820.01,108.086,127.32599999999998
2021-01-24 19:18:00,31820.01,31820.02,31820.02,31820.02,159.21,286.536
2021-01-24 19:21:00,31820.02,31727.0,31715.25,31715.26,304.802,-18.26600000000002
2021-01-24 19:24:00,31715.26,31754.71,31754.58,31754.71,684.117,665.8509999999999
2021-01-24 19:27:00,31754.71,31846.47,31846.15,31846.31,273.479,939.3299999999999
2021-01-24 19:30:00,31846.31,31924.0,31924.0,31924.0,241.371,1180.701
2021-01-24 19:33:00,31924.0,32099.06,32099.05,32099.05,935.21,2115.911
2021-01-24 19:36:00,32099.05,32216.7,32208.76,32214.89,1283.216,3399.127
2021-01-24 19:39:00,32214.89,32293.0,32292.79,32293.0,1343.223,4742.35
2021-01-24 19:42:00,32293.0,32175.0,32164.76,32169.02,1357.03,3385.3200000000006
2021-01-24 19:45:00,32169.02,32240.22,32240.21,32240.21,385.202,3770.522000000001
2021-01-24 19:48:00,32240.21,32255.46,32252.2,32255.2,403.63,4174.152000000001
2021-01-24 19:51:00,32255.2,32236.73,32236.72,32236.72,205.087,3969.065000000001
2021-01-24 19:54:00,32236.72,32181.51,32171.79,32175.68,362.465,3606.600000000001
2021-01-24 19:57:00,32175.68,32120.61,32119.73,32119.73,343.139,3263.4610000000007
2021-01-24 20:00:00,32119.73,32131.79,32128.17,32128.46,526.397,3789.8580000000006
2021-01-24 20:03:00,32128.46,32203.94,32203.93,32203.93,310.542,4100.400000000001
2021-01-24 20:06:00,32203.93,32234.39,32233.73,32233.74,545.381,4645.781000000001
2021-01-24 20:09:00,32233.74,32142.99,32142.98,32142.98,370.837,4274.944000000001
2021-01-24 20:12:00,32142.98,32177.04,32176.88,32177.03,997.844,5272.788000000001
2021-01-24 20:15:00,32177.03,32104.42,32103.09,32103.74,263.295,5009.493000000001
2021-01-24 20:18:00,32103.74,32086.22,32084.48,32085.01,391.232,4618.261000000001
2021-01-24 20:21:00,32085.01,32130.49,32128.68,32130.49,359.737,4977.998000000001
2021-01-24 20:24:00,32130.49,32068.62,32059.99,32068.42,343.099,4634.899000000001
2021-01-24 20:27:00,32068.42,32123.72,32123.6,32123.72,504.236,5139.135000000001
2021-01-24 20:30:00,32123.72,32088.77,32085.75,32088.77,378.962,4760.173000000001
2021-01-24 20:33:00,32088.77,32131.34,32127.35,32127.44,337.539,5097.712
2021-01-24 20:36:00,32127.44,32148.47,32148.46,32148.46,320.087,5417.799000000001
2021-01-24 20:39:00,32148.46,32088.24,32087.94,32088.24,162.418,5255.381000000001
2021-01-24 20:42:00,32088.24,32202.74,32195.0,32202.74,479.141,5734.522000000001
2021-01-24 20:45:00,32202.74,32240.0,32239.99,32240.0,635.942,6370.464000000001
2021-01-24 20:48:00,32240.0,32186.85,32186.85,32186.85,356.817,6013.647000000001
2021-01-24 20:51:00,32186.85,32334.05,32332.01,32332.01,807.078,6820.725
2021-01-24 20:54:00,32332.01,32289.49,32288.09,32288.1,434.597,6386.128000000001
2021-01-24 20:57:00,32288.1,32258.48,32250.0,32250.0,357.981,6028.147000000001
2021-01-24 21:00:00,32250.0,32274.88,32274.87,32274.87,325.518,6353.665000000001
2021-01-24 21:03:00,32274.87,32342.67,32336.74,32338.88,472.292,6825.957000000001
2021-01-24 21:06:00,32338.88,32212.65,32212.08,32212.52,404.925,6421.032000000001
2021-01-24 21:09:00,32212.52,32277.66,32271.45,32275.66,316.129,6737.161000000001
2021-01-24 21:12:00,32275.66,32213.89,32213.87,32213.88,219.22,6517.941000000001
2021-01-24 21:15:00,32213.88,32439.01,32439.0,32439.01,1977.024,8494.965
2021-01-24 21:18:00,32439.01,32442.09,32435.09,32437.04,1173.254,7321.711
2021-01-24 21:21:00,32437.04,32517.24,32512.64,32517.24,960.07,8281.781
2021-01-24 21:24:00,32517.24,32639.16,32633.16,32633.17,804.055,9085.836000000001
2021-01-24 21:27:00,32633.17,32609.34,32603.22,32608.83,623.199,8462.637
2021-01-24 21:30:00,32608.83,32713.2,32712.13,32712.4,748.864,9211.501
2021-01-24 21:33:00,32712.4,32709.48,32706.84,32708.7,848.437,8363.064
2021-01-24 21:36:00,32708.7,32616.35,32613.55,32613.55,500.639,7862.425
2021-01-24 21:39:00,32613.55,32688.19,32687.66,32687.76,515.009,8377.434000000001
2021-01-24 21:42:00,32687.76,32608.01,32608.0,32608.01,330.119,8047.315000000001
2021-01-24 21:45:00,32608.01,32686.29,32680.7,32684.46,261.315,8308.630000000001
