date,open,high,low,close,volume
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.91,426.102
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.90,426.164
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.46,426.408
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18226.40,426.959
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18225.79,431.317
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18225.79,431.355
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18225.79,432.247
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,435.688
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18228.00,435.693
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18225.81,436.792
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.97,437.291
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.96,437.381
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.11,437.765
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18220.99,437.769
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.92,439.069
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.52,439.383
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.00,439.728
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.57,440.313
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.90,440.810
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.88,445.680
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.87,445.682
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.97,446.061
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.97,446.065
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18226.18,446.646
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18226.17,446.896
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18224.57,447.286
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.96,447.344
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18223.68,447.488
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.33,447.508
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18222.33,447.719
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18226.18,457.856
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18228.00,463.945
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,464.022
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,464.246
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18225.75,474.197
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,475.164
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,475.265
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.98,475.411
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18228.00,475.500
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,475.555
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,475.675
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18227.99,475.725
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18228.00,476.025
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18230.61,480.878
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18231.29,482.330
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18231.86,483.305
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18229.74,488.031
2020-12-09 16:00:00,18194.01,18233.00,18194.01,18231.41,488.061
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18232.55,491.488
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.41,491.502
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18230.02,491.566
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.10,491.671
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.74,492.972
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.73,493.346
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.72,493.392
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.00,493.422
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18230.82,494.975
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18230.69,497.866
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18229.99,497.926
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18229.99,497.929
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18229.65,498.288
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18228.46,499.329
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18229.70,499.340
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18229.71,499.344
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.41,500.129
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.49,500.278
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.49,500.390
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.50,500.552
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.97,502.195
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.78,502.814
2020-12-09 16:00:00,18194.01,18233.30,18194.01,18231.79,503.490
2020-12-09 16:00:00,18194.01,18236.35,18194.01,18236.35,533.234
2020-12-09 16:00:00,18194.01,18238.40,18194.01,18238.40,538.430
2020-12-09 16:00:00,18194.01,18238.40,18194.01,18237.39,539.224
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18242.29,595.232
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18244.52,597.332
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18244.52,597.575
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18243.08,598.630
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18244.49,598.719
2020-12-09 16:00:00,18194.01,18247.56,18194.01,18244.45,600.219
2020-12-09 16:00:00,18194.01,18247.64,18194.01,18243.69,611.951
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.00,626.286
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.97,628.259
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.96,628.544
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.97,629.032
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.97,632.904
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.52,637.307
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.90,638.392
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.91,638.478
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.91,639.213
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.99,643.724
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.00,644.415
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.00,645.625
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.00,646.659
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.99,647.146
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.00,691.937
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.97,695.631
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.97,695.853
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.96,698.163
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.58,761.922
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18247.90,766.460
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18248.68,766.777
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.02,767.151
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.01,767.153
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.53,767.649
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18243.86,772.269
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18242.47,773.002
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.01,776.248
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.01,777.187
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.01,777.502
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.93,783.195
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18245.31,785.163
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.88,785.320
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.88,785.324
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.88,785.382
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.92,791.288
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18246.03,792.159
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.90,792.793
