Date,Open,High,Low,Close,Volume,Obv,Rsi
2021-03-30,58784.91,59368.0,57071.35,58746.57,161.350753,-161.350753,100.0
2021-03-29,58746.57,58405.82,54800.01,57635.47,55122.443122,-55283.793875,0.0
2021-03-28,57635.47,56559.75,54691.84,55777.63,67857.937398,-123141.73127299998,0.0
2021-03-27,55777.63,56700.36,53950.0,55817.14,39050.387511,-84091.34376199997,1.4511397558617887
2021-03-26,55817.14,55073.46,51214.6,55025.59,50105.475055,-134196.81881699996,1.1051359025919396
2021-03-25,55025.59,53287.0,50427.56,51293.78,63813.774692,-198010.593509,0.4999277349538005
2021-03-24,51293.78,57200.0,51700.0,52303.65,87400.534538,-110610.05897099996,14.19412954856287
2021-03-23,52303.65,55830.9,53000.0,54340.89,83537.465021,-27072.59394999997,33.944796640259966
2021-03-22,54340.89,58430.73,53650.0,54083.25,59789.365427,-86861.95937699996,32.91301403566047
2021-03-21,54083.25,58589.1,55450.11,57351.56,62581.626169,-24280.33320799996,52.597077089607915
2021-03-20,57351.56,59880.0,57820.17,58102.28,48564.470274,24284.13706600004,55.804759723996945
2021-03-19,58102.28,59468.0,56270.74,58030.01,44476.941776,-20192.80470999996,55.415995614989534
2021-03-18,58030.01,60129.97,57023.0,57648.16,52392.652961,-72585.45767099995,53.303058957422444
2021-03-17,57648.16,58974.73,54123.69,58912.97,66580.406675,-6005.050995999947,58.89387332796015
2021-03-16,58912.97,56938.29,53271.34,56900.75,70421.620841,-76426.67183699994,48.869458670886665
2021-03-15,56900.75,60633.43,54600.0,55605.2,77986.694355,-154413.36619199993,43.71075465951078
2021-03-14,55605.2,61724.79,58966.78,58968.31,102771.427298,-51641.93889399993,56.53688178527015
2021-03-13,58968.31,61844.0,56078.23,61188.39,52601.05275,959.1138560000692,62.595891603327594
2021-03-12,61188.39,58081.51,54962.84,57221.72,83245.091346,-82285.97748999993,49.356518444636976
2021-03-11,57221.72,58150.0,54272.82,57773.16,73405.406047,-8880.571442999935,50.910920490181304
2021-03-10,57773.16,57387.69,53005.0,55851.59,81914.812859,-90795.38430199992,45.65259026557594
2021-03-09,55851.59,54895.0,51789.41,54884.5,84749.238943,-175544.62324499994,43.232441642320794
2021-03-08,54884.5,52402.78,49274.67,52375.17,71656.737076,-247201.36032099996,37.65455479395733
2021-03-07,52375.17,51450.03,48882.2,50971.75,66987.359664,-314188.7199849999,34.939426971773855
2021-03-06,50971.75,49200.0,47070.0,48882.2,55235.028032,-369423.7480169999,31.31847204870641
2021-03-05,48882.2,49448.93,46300.0,48751.71,44399.234242,-413822.9822589999,31.101701321975213
2021-03-04,48751.71,51773.88,47500.0,48374.09,78192.496372,-492015.4786309999,30.44498431602763
2021-03-03,48374.09,52640.0,48100.71,50349.37,82649.716829,-409365.761802,37.83884941664901
2021-03-02,50349.37,50200.0,47047.6,48440.65,81035.913705,-490401.675507,34.06996359730364
2021-03-01,48440.65,49790.0,44950.53,49587.03,64221.06214,-426180.613367,38.06034925077495
2021-02-28,49587.03,46638.46,43000.0,45135.66,85086.111648,-511266.725015,30.373107213838594
2021-02-27,45135.66,48394.0,45000.0,46106.43,83055.369042,-428211.355973,33.526330846990476
2021-02-26,46106.43,48424.11,44106.78,46276.87,66060.834292,-362150.521681,34.09070135476004
2021-02-25,46276.87,52041.73,46674.34,47073.73,109423.200663,-252727.321018,36.792652009989766
2021-02-24,47073.73,51374.99,46988.69,49676.2,83310.673121,-169416.64789699996,44.757739536441534
2021-02-23,49676.2,54183.59,44892.56,48891.0,91881.209252,-261297.857149,42.99721316822305
2021-02-22,48891.0,57508.47,47622.0,54087.67,169375.025051,-91922.83209799996,55.47882200095608
2021-02-21,54087.67,58352.8,55477.59,57408.57,134019.434944,42096.60284600005,61.309209558418004
2021-02-20,57408.57,57700.46,53863.93,55841.19,58166.708511,-16070.105664999945,57.48296170084329
2021-02-19,55841.19,56368.0,50710.2,55906.0,80948.205314,64878.09964900006,57.60079214892808
2021-02-18,55906.0,52530.0,50901.9,51552.6,79659.77802,-14781.678370999936,47.981565211327464
